Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
Test Tail: 6600 3 9481 0

Test Head: 6610 3 4776 60

Test Tail: 6610 3 4776 389

Test Head: 6637 3 12111 271

Test Tail: 6637 3 12111 1344

Test Head: 6669 3 12408 4573

Test Tail: 6669 3 12408 1648

Test Head: 6759 3 478 1339

Test Tail: 6759 3 478 3228

Test Head: 6774 3 4960 921

Test Tail: 6774 3 4960 2426

Test Head: 6787 3 3607 9

Test Tail: 6787 3 3607 483

Test Head: 6805 3 10434 1

Test Tail: 6805 3 10434 0

Test Head: 6814 3 12333 2361

Test Tail: 6814 3 12333 1027

Test Head: 6814 3 14953 474

Test Tail: 6814 3 14953 3893

Test Head: 6817 3 3193 179

Test Tail: 6817 3 3193 100

Test Head: 6837 3 7607 1

Test Tail: 6837 3 7607 0

Test Head: 6914 3 8534 0

Test Tail: 6914 3 8534 1

Test Head: 6976 3 14436 119

Test Tail: 6976 3 14436 11978

Test Head: 7057 3 11346 52

Test Tail: 7057 3 11346 1234

Test Head: 7109 3 2477 44

Test Tail: 7109 3 2477 852

Test Head: 7148 3 5087 0

Test Tail: 7148 3 5087 0

Test Head: 7243 3 14982 500

Test Tail: 7243 3 14982 11705

Test Head: 7250 3 10374 1055

Test Tail: 7250 3 10374 2812

Test Head: 7253 3 9036 0

Test Tail: 7253 3 9036 0

Test Head: 7267 3 12797 0

Test Tail: 7267 3 12797 1

Test Head: 7325 3 13228 4051

Test Tail: 7325 3 13228 2326

Test Head: 7333 3 5694 0

Test Tail: 7333 3 5694 2

Test Head: 7378 3 11473 36

Test Tail: 7378 3 11473 115

Test Head: 7383 3 14970 106

Test Tail: 7383 3 14970 9233

Test Head: 7590 3 14228 15

Test Tail: 7590 3 14228 152

Test Head: 7623 3 11976 0

Test Tail: 7623 3 11976 2

Test Head: 7680 3 7681 0

Test Tail: 7680 3 7681 56

Test Head: 7774 3 14807 208

Test Tail: 7774 3 14807 10629

Test Head: 7775 3 7874 0

Test Tail: 7775 3 7874 0

Test Head: 7879 3 12487 0

Test Tail: 7879 3 12487 0

Test Head: 7914 3 601 0

Test Tail: 7914 3 601 0

Test Head: 8124 3 10545 0

Test Tail: 8124 3 10545 1

Test Head: 8155 3 14103 0

Test Tail: 8155 3 14103 0

Test Head: 8266 3 13781 1917

Test Tail: 8266 3 13781 12496

Test Head: 8303 3 14330 2

Test Tail: 8303 3 14330 2

Test Head: 8335 3 13066 371

Test Tail: 8335 3 13066 9523

Test Head: 8335 3 14955 1006

Test Tail: 8335 3 14955 13999

Test Head: 8392 3 7685 3839

Test Tail: 8392 3 7685 5467

Test Head: 8480 3 14219 0

Test Tail: 8480 3 14219 1

Test Head: 8555 3 2433 0

Test Tail: 8555 3 2433 1

Test Head: 8677 3 13597 656

Test Tail: 8677 3 13597 187

Test Head: 8694 3 13084 0

Test Tail: 8694 3 13084 0

Test Head: 8774 3 5373 0

Test Tail: 8774 3 5373 0

Test Head: 8793 3 14786 311

Test Tail: 8793 3 14786 3054

Test Head: 8846 3 1268 2

Test Tail: 8846 3 1268 1

Test Head: 8913 3 12943 0

Test Tail: 8913 3 12943 0

Test Head: 8959 3 8960 3

Test Tail: 8959 3 8960 1

Test Head: 9030 3 11835 1824

Test Tail: 9030 3 11835 3217

Test Head: 9166 3 504 39

Test Tail: 9166 3 504 112

Test Head: 9271 3 11181 0

Test Tail: 9271 3 11181 0

Test Head: 9283 3 5968 0

Test Tail: 9283 3 5968 0

Test Head: 9283 3 7137 0

Test Tail: 9283 3 7137 1

Test Head: 9283 3 14397 192

Test Tail: 9283 3 14397 11366

Test Head: 9398 3 14821 650

Test Tail: 9398 3 14821 7811

Test Head: 9420 3 14838 1232

Test Tail: 9420 3 14838 7685

Test Head: 9622 3 9623 0

Test Tail: 9622 3 9623 0

Test Head: 9660 3 14845 296

Test Tail: 9660 3 14845 5577

Test Head: 9717 3 12860 1

Test Tail: 9717 3 12860 1303

Test Head: 9835 3 14718 2138

Test Tail: 9835 3 14718 10640

Test Head: 9868 3 11882 0

Test Tail: 9868 3 11882 1

Test Head: 9868 3 13936 1

Test Tail: 9868 3 13936 0

Test Head: 9879 3 90 170

Test Tail: 9879 3 90 460

Test Head: 9879 3 14444 676

Test Tail: 9879 3 14444 11502

Test Head: 9916 3 14798 273

Test Tail: 9916 3 14798 8833

Test Head: 9925 3 695 30

Test Tail: 9925 3 695 12

Test Head: 9925 3 8746 80

Test Tail: 9925 3 8746 42

Test Head: 9940 3 1466 301

Test Tail: 9940 3 1466 568

Test Head: 9970 3 11530 0

Test Tail: 9970 3 11530 0

Test Head: 9986 3 8736 0

Test Tail: 9986 3 8736 0

Test Head: 9995 3 14952 68

Test Tail: 9995 3 14952 4378

Test Head: 10051 3 6844 950

Test Tail: 10051 3 6844 1549

Test Head: 10060 3 5891 1

Test Tail: 10060 3 5891 0

Test Head: 10079 3 4120 13

Test Tail: 10079 3 4120 50

Test Head: 10139 3 187 0

Test Tail: 10139 3 187 0

Test Head: 10139 3 9275 0

Test Tail: 10139 3 9275 0

Test Head: 10151 3 10152 0

Test Tail: 10151 3 10152 0

Test Head: 10158 3 460 0

Test Tail: 10158 3 460 0

Test Head: 10158 3 3138 0

Test Tail: 10158 3 3138 0

Test Head: 10165 3 9147 0

Test Tail: 10165 3 9147 1

Test Head: 10227 3 14847 1399

Test Tail: 10227 3 14847 13335

Test Head: 10262 3 10263 0

Test Tail: 10262 3 10263 0

Test Head: 10269 3 13223 0

Test Tail: 10269 3 13223 1

Test Head: 10327 3 3011 0

Test Tail: 10327 3 3011 0

Test Head: 10334 3 13617 74

Test Tail: 10334 3 13617 429

Test Head: 10387 3 10716 94

Test Tail: 10387 3 10716 83

Test Head: 10393 3 8194 7046

Test Tail: 10393 3 8194 311

Test Head: 10465 3 4596 0

Test Tail: 10465 3 4596 0

Test Head: 10468 3 10021 0

Test Tail: 10468 3 10021 0

Test Head: 10608 3 14839 3545

Test Tail: 10608 3 14839 7796

Test Head: 10624 3 11835 419

Test Tail: 10624 3 11835 54

Test Head: 10669 3 14797 200

Test Tail: 10669 3 14797 3803

Test Head: 10740 3 10741 0

Test Tail: 10740 3 10741 0

Test Head: 10795 3 10796 0

Test Tail: 10795 3 10796 0

Test Head: 10797 3 14845 294

Test Tail: 10797 3 14845 5503

Test Head: 10851 3 14763 6862

Test Tail: 10851 3 14763 11291

Test Head: 10897 3 2158 260

Test Tail: 10897 3 2158 49

Test Head: 10911 3 11780 0

Test Tail: 10911 3 11780 0

Test Head: 11174 3 14954 1480

Test Tail: 11174 3 14954 13204

Test Head: 11184 3 11058 5510

Test Tail: 11184 3 11058 107

Test Head: 11187 3 12410 857

Test Tail: 11187 3 12410 8859

Test Head: 11187 3 14480 296

Test Tail: 11187 3 14480 7086

Test Head: 11303 3 4175 0

Test Tail: 11303 3 4175 2

Test Head: 11345 3 7058 861

Test Tail: 11345 3 7058 50

Test Head: 11369 3 2339 114

Test Tail: 11369 3 2339 52

Test Head: 11378 3 9399 0

Test Tail: 11378 3 9399 0

Test Head: 11379 3 14910 140

Test Tail: 11379 3 14910 11250

Test Head: 11399 3 14762 2

Test Tail: 11399 3 14762 1349

Test Head: 11402 3 14866 1689

Test Tail: 11402 3 14866 11203

Test Head: 11413 3 14790 474

Test Tail: 11413 3 14790 10876

Test Head: 11555 3 4472 3614

Test Tail: 11555 3 4472 1799

Test Head: 11782 3 13353 0

Test Tail: 11782 3 13353 0

Test Head: 11782 3 14829 2381

Test Tail: 11782 3 14829 10669

Test Head: 11787 3 8914 0

Test Tail: 11787 3 8914 0

Test Head: 11787 3 12943 0

Test Tail: 11787 3 12943 0

Test Head: 11865 3 12931 480

Test Tail: 11865 3 12931 1322

Test Head: 11865 3 14825 33

Test Tail: 11865 3 14825 3492

Test Head: 11942 3 7932 700

Test Tail: 11942 3 7932 448

Test Head: 11988 3 8455 0

Test Tail: 11988 3 8455 0

Test Head: 11988 3 8557 0

Test Tail: 11988 3 8557 1

Test Head: 11988 3 9368 0

Test Tail: 11988 3 9368 0

Test Head: 12015 3 13948 1789

Test Tail: 12015 3 13948 162

Test Head: 12046 3 13016 0

Test Tail: 12046 3 13016 0

Test Head: 12149 3 12715 0

Test Tail: 12149 3 12715 4

Test Head: 12150 3 10172 0

Test Tail: 12150 3 10172 0

Test Head: 12186 3 11835 6

Test Tail: 12186 3 11835 1

Test Head: 12187 3 8312 0

Test Tail: 12187 3 8312 0

Test Head: 12306 3 14957 1334

Test Tail: 12306 3 14957 4833

Test Head: 12334 3 3049 56

Test Tail: 12334 3 3049 83

Test Head: 12647 3 13431 431

Test Tail: 12647 3 13431 106

Test Head: 12680 3 12486 3

Test Tail: 12680 3 12486 1

Test Head: 12744 3 5195 626

Test Tail: 12744 3 5195 500

Test Head: 12803 3 14791 124

Test Tail: 12803 3 14791 7956

Test Head: 12869 3 8015 0

Test Tail: 12869 3 8015 1

Test Head: 12870 3 4167 0

Test Tail: 12870 3 4167 0

Test Head: 12906 3 14796 1548

Test Tail: 12906 3 14796 10178

Test Head: 12906 3 14864 435

Test Tail: 12906 3 14864 8132

Test Head: 12922 3 5420 4648

Test Tail: 12922 3 5420 4830

Test Head: 12976 3 13260 3091

Test Tail: 12976 3 13260 4068

Test Head: 13048 3 14273 55

Test Tail: 13048 3 14273 47

Test Head: 13056 3 13057 0

Test Tail: 13056 3 13057 0

Test Head: 13056 3 14996 461

Test Tail: 13056 3 14996 6129

Test Head: 13160 3 14761 121

Test Tail: 13160 3 14761 8483

Test Head: 13206 3 2378 5071

Test Tail: 13206 3 2378 731

Test Head: 13271 3 14775 5279

Test Tail: 13271 3 14775 11170

Test Head: 13282 3 629 4

Test Tail: 13282 3 629 1

Test Head: 13293 3 3521 171

Test Tail: 13293 3 3521 127

Test Head: 13315 3 9496 1592

Test Tail: 13315 3 9496 859

Test Head: 13352 3 14829 2416

Test Tail: 13352 3 14829 10730

Test Head: 13458 3 3707 2743

Test Tail: 13458 3 3707 2625

Test Head: 13567 3 13813 0

Test Tail: 13567 3 13813 1

Test Head: 13607 3 8450 1899

Test Tail: 13607 3 8450 8538

Test Head: 13630 3 13631 0

Test Tail: 13630 3 13631 0

Test Head: 13703 3 14875 136

Test Tail: 13703 3 14875 10548

Test Head: 13723 3 2251 1637

Test Tail: 13723 3 2251 623

Test Head: 13780 3 11974 4605

Test Tail: 13780 3 11974 94

Test Head: 13802 3 14627 111

Test Tail: 13802 3 14627 7167

Test Head: 13841 3 14691 566

Test Tail: 13841 3 14691 13491

Test Head: 14093 3 10076 0

Test Tail: 14093 3 10076 0

Test Head: 14102 3 4375 214

Test Tail: 14102 3 4375 241

Test Head: 14116 3 2251 0

Test Tail: 14116 3 2251 0

Test Head: 14160 3 14161 0

Test Tail: 14160 3 14161 0

Test Head: 14282 3 2887 0

Test Tail: 14282 3 2887 0

Test Head: 14287 3 14267 0

Test Tail: 14287 3 14267 0

Test Head: 14296 3 10177 1173

Test Tail: 14296 3 10177 634

Test Head: 14321 3 2349 3765

Test Tail: 14321 3 2349 80

Test Head: 14321 3 12265 1271

Test Tail: 14321 3 12265 63

Test Head: 14325 3 1627 0

Test Tail: 14325 3 1627 2

Test Head: 14515 3 14328 2565

Test Tail: 14515 3 14328 381

Test Head: 14521 3 11125 5202

Test Tail: 14521 3 11125 22

Test Head: 14626 3 14182 7324

Test Tail: 14626 3 14182 43

Test Head: 14656 3 11822 12221

Test Tail: 14656 3 11822 6695

Test Head: 14663 3 10177 12663

Test Tail: 14663 3 10177 709

Test Head: 14665 3 5920 10090

Test Tail: 14665 3 5920 1477

Test Head: 14752 3 7538 13243

Test Tail: 14752 3 7538 2117

Test Head: 14778 3 6389 11590

Test Tail: 14778 3 6389 2676

Test Head: 14778 3 8026 12245

Test Tail: 14778 3 8026 3902

Test Head: 14841 3 11730 12506

Test Tail: 14841 3 11730 1228

Test Head: 14843 3 7880 13939

Test Tail: 14843 3 7880 4902

Test Head: 14843 3 13659 13943

Test Tail: 14843 3 13659 2228

Test Head: 14854 3 3670 13650

Test Tail: 14854 3 3670 719

Test Head: 14867 3 14868 11387

Test Tail: 14867 3 14868 10973

Test Head: 14886 3 12702 13105

Test Tail: 14886 3 12702 4861

Test Head: 14906 3 601 5754

Test Tail: 14906 3 601 3

Test Head: 14907 3 6260 12766

Test Tail: 14907 3 6260 4932

Test Head: 14908 3 7959 11145

Test Tail: 14908 3 7959 937

Test Head: 14921 3 13467 5619

Test Tail: 14921 3 13467 1156

Test Head: 14922 3 14440 2236

Test Tail: 14922 3 14440 4306

Test Head: 14924 3 14925 13479

Test Tail: 14924 3 14925 11952

Test Head: 14933 3 12785 11691

Test Tail: 14933 3 12785 2931

Test Head: 14934 3 5708 9429

Test Tail: 14934 3 5708 955

Test Head: 14941 3 14942 10152

Test Tail: 14941 3 14942 10752

Test Head: 14943 3 14944 9991

Test Tail: 14943 3 14944 7979

Test Head: 14949 3 1312 9707

Test Tail: 14949 3 1312 421

Test Head: 14962 3 14963 2043

Test Tail: 14962 3 14963 4369

Test Head: 14989 3 3318 5649

Test Tail: 14989 3 3318 9

Test Head: 14994 3 3101 1171

Test Tail: 14994 3 3101 137

Test Head: 24 4 25 0

Test Tail: 24 4 25 0

Test Head: 34 4 2773 0

Test Tail: 34 4 2773 0

Test Head: 36 4 2113 0

Test Tail: 36 4 2113 0

Test Head: 91 4 8236 0

Test Tail: 91 4 8236 0

Test Head: 198 4 199 0

Test Tail: 198 4 199 0

Test Head: 213 4 9621 0

Test Tail: 213 4 9621 0

Test Head: 240 4 2435 258

Test Tail: 240 4 2435 271

Test Head: 287 4 1755 0

Test Tail: 287 4 1755 0

Test Head: 432 4 14184 417

Test Tail: 432 4 14184 557

Test Head: 451 4 452 0

Test Tail: 451 4 452 0

Test Head: 453 4 454 0

Test Tail: 453 4 454 0

Test Head: 453 4 1232 0

Test Tail: 453 4 1232 0

Test Head: 521 4 13540 327

Test Tail: 521 4 13540 301

Test Head: 596 4 4227 0

Test Tail: 596 4 4227 0

Test Head: 602 4 603 0

Test Tail: 602 4 603 0

Test Head: 632 4 1005 437

Test Tail: 632 4 1005 302

Test Head: 824 4 2723 0

Test Tail: 824 4 2723 0

Test Head: 997 4 5235 0

Test Tail: 997 4 5235 0

Test Head: 1205 4 8819 47

Test Tail: 1205 4 8819 18

Test Head: 1225 4 1030 0

Test Tail: 1225 4 1030 0

Test Head: 1225 4 1226 0

Test Tail: 1225 4 1226 0

Test Head: 1284 4 6821 0

Test Tail: 1284 4 6821 0

Test Head: 1294 4 4954 0

Test Tail: 1294 4 4954 0

Test Head: 1347 4 1348 0

Test Tail: 1347 4 1348 0

Test Head: 1407 4 3089 0

Test Tail: 1407 4 3089 0

Test Head: 1488 4 7965 2082

Test Tail: 1488 4 7965 182

Test Head: 1500 4 10652 0

Test Tail: 1500 4 10652 0

Test Head: 1525 4 1526 0

Test Tail: 1525 4 1526 0

Test Head: 1586 4 1532 0

Test Tail: 1586 4 1532 0

Test Head: 1714 4 6717 0

Test Tail: 1714 4 6717 0

Test Head: 1738 4 37 0

Test Tail: 1738 4 37 0

Test Head: 1745 4 423 0

Test Tail: 1745 4 423 0

Test Head: 1877 4 49 100

Test Tail: 1877 4 49 16

Test Head: 1892 4 1372 0

Test Tail: 1892 4 1372 0

Test Head: 1933 4 1242 0

Test Tail: 1933 4 1242 0

Test Head: 1934 4 282 0

Test Tail: 1934 4 282 0

Test Head: 1964 4 1757 1

Test Tail: 1964 4 1757 0

Test Head: 1992 4 1631 0

Test Tail: 1992 4 1631 0

Test Head: 2023 4 140 0

Test Tail: 2023 4 140 0

Test Head: 2056 4 229 0

Test Tail: 2056 4 229 0

Test Head: 2089 4 633 0

Test Tail: 2089 4 633 0

Test Head: 2140 4 2141 0

Test Tail: 2140 4 2141 0

Test Head: 2140 4 10207 662

Test Tail: 2140 4 10207 132

Test Head: 2206 4 4569 0

Test Tail: 2206 4 4569 0

Test Head: 2231 4 337 9

Test Tail: 2231 4 337 1

Test Head: 2288 4 2011 0

Test Tail: 2288 4 2011 0

Test Head: 2288 4 2463 28

Test Tail: 2288 4 2463 7

Test Head: 2321 4 225 1

Test Tail: 2321 4 225 1

Test Head: 2342 4 288 0

Test Tail: 2342 4 288 0

Test Head: 2384 4 10125 0

Test Tail: 2384 4 10125 0

Test Head: 2385 4 390 0

Test Tail: 2385 4 390 0

Test Head: 2392 4 4289 0

Test Tail: 2392 4 4289 0

Test Head: 2404 4 2405 0

Test Tail: 2404 4 2405 0

Test Head: 2406 4 4996 14

Test Tail: 2406 4 4996 5

Test Head: 2466 4 2646 0

Test Tail: 2466 4 2646 0

Test Head: 2519 4 7092 140

Test Tail: 2519 4 7092 86

Test Head: 2572 4 2631 0

Test Tail: 2572 4 2631 0

Test Head: 2572 4 6471 0

Test Tail: 2572 4 6471 0

Test Head: 2581 4 8740 0

Test Tail: 2581 4 8740 0

Test Head: 2645 4 2646 0

Test Tail: 2645 4 2646 0

Test Head: 2656 4 2657 0

Test Tail: 2656 4 2657 0

Test Head: 2674 4 2510 0

Test Tail: 2674 4 2510 0

Test Head: 2674 4 4051 0

Test Tail: 2674 4 4051 0

Test Head: 2739 4 2740 0

Test Tail: 2739 4 2740 0

Test Head: 2751 4 2752 0

Test Tail: 2751 4 2752 0

Test Head: 2864 4 8740 0

Test Tail: 2864 4 8740 0

Test Head: 2884 4 9141 0

Test Tail: 2884 4 9141 0

Test Head: 2891 4 2892 0

Test Tail: 2891 4 2892 0

Test Head: 2891 4 9360 0

Test Tail: 2891 4 9360 0

Test Head: 3022 4 2034 0

Test Tail: 3022 4 2034 0

Test Head: 3139 4 12177 0

Test Tail: 3139 4 12177 0

Test Head: 3162 4 19 0

Test Tail: 3162 4 19 0

Test Head: 3162 4 500 0

Test Tail: 3162 4 500 0

Test Head: 3211 4 4880 0

Test Tail: 3211 4 4880 0

Test Head: 3414 4 2053 7495

Test Tail: 3414 4 2053 344

Test Head: 3414 4 3415 0

Test Tail: 3414 4 3415 0

Test Head: 3422 4 452 3889

Test Tail: 3422 4 452 62

Test Head: 3437 4 7323 0

Test Tail: 3437 4 7323 0

Test Head: 3475 4 3476 0

Test Tail: 3475 4 3476 0

Test Head: 3475 4 6161 0

Test Tail: 3475 4 6161 0

Test Head: 3579 4 4798 0

Test Tail: 3579 4 4798 0

Test Head: 3590 4 4571 0

Test Tail: 3590 4 4571 0

Test Head: 3590 4 10029 650

Test Tail: 3590 4 10029 708

Test Head: 3602 4 9875 5

Test Tail: 3602 4 9875 1

Test Head: 3635 4 5097 43

Test Tail: 3635 4 5097 31

Test Head: 3697 4 1485 0

Test Tail: 3697 4 1485 0

Test Head: 3698 4 3699 0

Test Tail: 3698 4 3699 0

Test Head: 3731 4 3732 0

Test Tail: 3731 4 3732 0

Test Head: 3885 4 3886 0

Test Tail: 3885 4 3886 0

Test Head: 3927 4 2689 371

Test Tail: 3927 4 2689 242

Test Head: 3945 4 1151 0

Test Tail: 3945 4 1151 0

Test Head: 3945 4 2335 0

Test Tail: 3945 4 2335 0

Test Head: 4000 4 49 0

Test Tail: 4000 4 49 0

Test Head: 4007 4 3649 0

Test Tail: 4007 4 3649 0

Test Head: 4050 4 3763 2

Test Tail: 4050 4 3763 5

Test Head: 4058 4 10154 0

Test Tail: 4058 4 10154 0

Test Head: 4067 4 2386 0

Test Tail: 4067 4 2386 0

Test Head: 4089 4 10066 0

Test Tail: 4089 4 10066 0

Test Head: 4199 4 11798 0

Test Tail: 4199 4 11798 0

Test Head: 4215 4 9612 0

Test Tail: 4215 4 9612 0

Test Head: 4279 4 5585 0

Test Tail: 4279 4 5585 0

Test Head: 4310 4 4339 0

Test Tail: 4310 4 4339 0

Test Head: 4422 4 8240 0

Test Tail: 4422 4 8240 0

Test Head: 4433 4 1038 0

Test Tail: 4433 4 1038 0

Test Head: 4433 4 1536 0

Test Tail: 4433 4 1536 0

Test Head: 4541 4 1164 0

Test Tail: 4541 4 1164 0

Test Head: 4568 4 303 0

Test Tail: 4568 4 303 0

Test Head: 4576 4 9386 0

Test Tail: 4576 4 9386 0

Test Head: 4638 4 1272 0

Test Tail: 4638 4 1272 1

Test Head: 4639 4 2212 0

Test Tail: 4639 4 2212 0

Test Head: 4687 4 8666 0

Test Tail: 4687 4 8666 0

Test Head: 4781 4 11667 1

Test Tail: 4781 4 11667 5

Test Head: 4803 4 53 1305

Test Tail: 4803 4 53 10

Test Head: 4869 4 3146 126

Test Tail: 4869 4 3146 88

Test Head: 4869 4 4870 0

Test Tail: 4869 4 4870 0

Test Head: 4882 4 4883 0

Test Tail: 4882 4 4883 0

Test Head: 4906 4 3549 0

Test Tail: 4906 4 3549 0

Test Head: 4967 4 542 0

Test Tail: 4967 4 542 0

Test Head: 5053 4 12823 0

Test Tail: 5053 4 12823 0

Test Head: 5092 4 1030 2

Test Tail: 5092 4 1030 2

Test Head: 5112 4 53 0

Test Tail: 5112 4 53 0

Test Head: 5112 4 4394 0

Test Tail: 5112 4 4394 0

Test Head: 5120 4 1902 0

Test Tail: 5120 4 1902 0

Test Head: 5154 4 918 0

Test Tail: 5154 4 918 0

Test Head: 5154 4 7395 88

Test Tail: 5154 4 7395 73

Test Head: 5165 4 5166 0

Test Tail: 5165 4 5166 0

Test Head: 5310 4 1845 0

Test Tail: 5310 4 1845 0

Test Head: 5355 4 9678 0

Test Tail: 5355 4 9678 0

Test Head: 5421 4 5422 0

Test Tail: 5421 4 5422 0

Test Head: 5435 4 427 0

Test Tail: 5435 4 427 0

Test Head: 5444 4 5445 0

Test Tail: 5444 4 5445 0

Test Head: 5464 4 3784 0

Test Tail: 5464 4 3784 0

Test Head: 5485 4 445 3754

Test Tail: 5485 4 445 207

Test Head: 5518 4 1372 0

Test Tail: 5518 4 1372 0

Test Head: 5543 4 4251 0

Test Tail: 5543 4 4251 0

Test Head: 5575 4 9507 0

Test Tail: 5575 4 9507 0

Test Head: 5597 4 1372 0

Test Tail: 5597 4 1372 0

Test Head: 5627 4 886 0

Test Tail: 5627 4 886 0

Test Head: 5648 4 1188 4

Test Tail: 5648 4 1188 0

Test Head: 5806 4 10612 0

Test Tail: 5806 4 10612 0

Test Head: 5817 4 647 0

Test Tail: 5817 4 647 0

Test Head: 5859 4 396 0

Test Tail: 5859 4 396 0

Test Head: 5876 4 7501 3

Test Tail: 5876 4 7501 1

Test Head: 5884 4 7740 0

Test Tail: 5884 4 7740 0

Test Head: 5894 4 6580 0

Test Tail: 5894 4 6580 0

Test Head: 5900 4 1188 14

Test Tail: 5900 4 1188 6

Test Head: 5904 4 1272 0

Test Tail: 5904 4 1272 0

Test Head: 5904 4 2438 0

Test Tail: 5904 4 2438 0

Test Head: 5923 4 5924 0

Test Tail: 5923 4 5924 0

Test Head: 5956 4 1902 0

Test Tail: 5956 4 1902 0

Test Head: 6031 4 3886 0

Test Tail: 6031 4 3886 0

Test Head: 6078 4 199 0

Test Tail: 6078 4 199 0

Test Head: 6078 4 9059 0

Test Tail: 6078 4 9059 0

Test Head: 6087 4 2420 0

Test Tail: 6087 4 2420 0

Test Head: 6099 4 1845 0

Test Tail: 6099 4 1845 0

Test Head: 6142 4 11228 0

Test Tail: 6142 4 11228 0

Test Head: 6153 4 3399 0

Test Tail: 6153 4 3399 0

Test Head: 6181 4 3089 0

Test Tail: 6181 4 3089 0

Test Head: 6243 4 769 140

Test Tail: 6243 4 769 5

Test Head: 6248 4 4301 0

Test Tail: 6248 4 4301 0

Test Head: 6253 4 132 0

Test Tail: 6253 4 132 0

Test Head: 6261 4 1536 0

Test Tail: 6261 4 1536 0

Test Head: 6262 4 4099 19

Test Tail: 6262 4 4099 1

Test Head: 6266 4 363 1

Test Tail: 6266 4 363 0

Test Head: 6291 4 830 0

Test Tail: 6291 4 830 0

Test Head: 6318 4 3970 0

Test Tail: 6318 4 3970 0

Test Head: 6451 4 6452 0

Test Tail: 6451 4 6452 0

Test Head: 6462 4 6463 0

Test Tail: 6462 4 6463 0

Test Head: 6477 4 4577 7

Test Tail: 6477 4 4577 3

Test Head: 6499 4 14030 175

Test Tail: 6499 4 14030 920

Test Head: 6531 4 5901 0

Test Tail: 6531 4 5901 0

Test Head: 6537 4 5501 0

Test Tail: 6537 4 5501 0

Test Head: 6702 4 2740 0

Test Tail: 6702 4 2740 0

Test Head: 6745 4 2552 0

Test Tail: 6745 4 2552 0

Test Head: 6777 4 5501 0

Test Tail: 6777 4 5501 0

Test Head: 6842 4 9064 0

Test Tail: 6842 4 9064 0

Test Head: 6881 4 8740 36

Test Tail: 6881 4 8740 19

Test Head: 6906 4 4289 0

Test Tail: 6906 4 4289 0

Test Head: 6920 4 3444 1

Test Tail: 6920 4 3444 4

Test Head: 6958 4 3485 0

Test Tail: 6958 4 3485 0

Test Head: 6958 4 7442 0

Test Tail: 6958 4 7442 0

Test Head: 7006 4 5885 0

Test Tail: 7006 4 5885 0

Test Head: 7017 4 303 0

Test Tail: 7017 4 303 0

Test Head: 7032 4 438 0

Test Tail: 7032 4 438 0

Test Head: 7133 4 2660 0

Test Tail: 7133 4 2660 0

Test Head: 7302 4 337 0

Test Tail: 7302 4 337 0

Test Head: 7305 4 4977 0

Test Tail: 7305 4 4977 1

Test Head: 7311 4 1226 0

Test Tail: 7311 4 1226 0

Test Head: 7316 4 8666 0

Test Tail: 7316 4 8666 0

Test Head: 7319 4 583 0

Test Tail: 7319 4 583 0

Test Head: 7334 4 13708 34

Test Tail: 7334 4 13708 12

Test Head: 7394 4 6717 0

Test Tail: 7394 4 6717 0

Test Head: 7510 4 1030 0

Test Tail: 7510 4 1030 0

Test Head: 7533 4 433 0

Test Tail: 7533 4 433 0

Test Head: 7638 4 4227 0

Test Tail: 7638 4 4227 0

Test Head: 7652 4 830 0

Test Tail: 7652 4 830 0

Test Head: 7686 4 445 0

Test Tail: 7686 4 445 0

Test Head: 7827 4 5476 0

Test Tail: 7827 4 5476 0

Test Head: 7837 4 3886 0

Test Tail: 7837 4 3886 0

Test Head: 7837 4 4059 0

Test Tail: 7837 4 4059 0

Test Head: 7896 4 12180 0

Test Tail: 7896 4 12180 0

Test Head: 7934 4 9469 0

Test Tail: 7934 4 9469 0

